Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.632812,11.382812,11.437500,11.468750,0.000000,0.000000,0.000000,0.000000,
0.019925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.648438,11.398438,11.429688,11.468750,0.000000,0.000000,0.000000,0.000000,
0.039865,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.640625,11.398438,11.429688,11.468750,0.000000,0.000000,0.000000,0.000000,
0.059880,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.640625,11.398438,11.437500,11.468750,0.000000,0.000000,0.000000,0.000000,
0.079900,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.640625,11.398438,11.437500,11.468750,0.000000,0.000000,0.000000,0.000000,
0.099921,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.640625,11.398438,11.445312,11.468750,0.000000,0.000000,0.000000,0.000000,
0.119981,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.640625,11.398438,11.429688,11.476562,0.000000,0.000000,0.000000,0.000000,
0.139974,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.640625,11.398438,11.437500,11.476562,0.000000,0.000000,0.000000,0.000000,
0.160170,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.640625,11.406250,11.429688,11.468750,0.000000,0.000000,0.000000,0.000000,
0.179984,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.640625,11.398438,11.437500,11.468750,0.000000,0.000000,0.000000,0.000000,
0.200090,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.632812,11.398438,11.437500,11.468750,0.000000,0.000000,0.000000,0.000000,
