Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.922323,3.352967,3.352967,348.571411,348.571411,11.156250,10.515625,11.023438,10.656250,30.156250,28.843750,36.625000,31.906250,
0.942397,1.790564,1.790564,422.857117,422.857117,11.859375,10.523438,11.101562,10.695312,17.593750,36.593750,35.656250,37.187500,
0.962427,0.521111,0.521111,422.857117,422.857117,12.710938,11.421875,11.710938,11.679688,0.000000,17.625000,17.593750,12.625000,
0.982424,0.000000,-0.000000,468.571442,468.571442,12.492188,12.289062,12.320312,12.296875,0.000000,0.000000,0.000000,0.000000,
1.002464,0.000000,-0.000000,485.714294,485.714294,12.500000,12.242188,12.289062,12.304688,0.000000,0.000000,0.000000,0.000000,
1.022340,0.000000,-0.000000,485.714294,485.714294,12.515625,12.273438,12.296875,12.328125,0.000000,0.000000,0.000000,0.000000,
1.042311,0.000000,-0.000000,525.714233,525.714233,12.507812,12.281250,12.312500,12.328125,0.000000,0.000000,0.000000,0.000000,
1.062358,0.000000,-0.000000,525.714233,525.714233,12.523438,12.273438,12.320312,12.343750,0.000000,0.000000,0.000000,0.000000,
1.082484,0.000000,-0.000000,537.142822,537.142822,12.531250,12.281250,12.335938,12.343750,0.000000,0.000000,0.000000,0.000000,
1.102519,0.000000,-0.000000,519.999939,519.999939,12.531250,12.281250,12.320312,12.335938,0.000000,0.000000,0.000000,0.000000,
1.122323,0.150040,0.150040,519.999939,519.999939,12.625000,12.289062,12.320312,12.359375,0.093750,0.000000,0.000000,0.000000,
1.142486,1.743754,1.743754,474.285675,474.285675,12.539062,12.289062,12.359375,12.328125,0.000000,0.000000,0.062500,0.000000,
1.162285,1.743754,1.743754,399.999939,399.999939,12.460938,12.273438,12.257812,12.296875,0.000000,0.000000,0.000000,0.000000,
1.182353,5.000000,5.000000,399.999939,399.999939,12.398438,12.242188,12.234375,12.304688,0.062500,0.000000,0.031250,0.000000,
1.202310,5.000000,5.000000,337.142853,337.142853,12.359375,12.210938,12.179688,12.257812,0.062500,0.000000,0.000000,0.000000,
1.222402,5.000000,5.000000,308.571411,308.571411,11.664062,12.148438,11.492188,11.343750,28.000000,0.000000,33.125000,32.781250,
1.242378,5.000000,5.000000,308.571411,308.571411,11.156250,11.320312,11.328125,11.171875,36.187500,32.250000,28.875000,24.781250,
1.262294,5.000000,5.000000,291.428589,291.428589,11.007812,11.078125,11.031250,11.125000,37.468750,33.687500,37.250000,31.937500,
1.282544,5.000000,5.000000,291.428589,291.428589,10.914062,10.898438,10.984375,10.687500,37.875000,35.843750,38.062500,36.437500,
1.302383,5.000000,5.000000,251.428589,251.428589,11.039062,11.007812,11.101562,10.765625,26.875000,26.656250,35.625000,36.406250,
1.322419,5.000000,5.000000,245.714294,245.714294,10.843750,10.835938,10.835938,10.851562,38.812500,38.125000,39.187500,29.468750,
1.342341,5.000000,5.000000,245.714294,245.714294,10.875000,10.968750,10.953125,10.734375,39.031250,30.562500,30.593750,36.500000,
1.362337,5.000000,5.000000,274.285706,274.285706,10.703125,10.640625,11.015625,10.593750,42.281250,38.062500,36.187500,33.156250,
1.382358,5.000000,5.000000,320.000061,320.000061,10.906250,10.609375,10.843750,10.554688,36.281250,39.531250,31.062500,37.562500,
1.402501,5.000000,5.000000,320.000061,320.000061,10.570312,10.601562,10.718750,10.453125,47.250000,39.343750,41.718750,38.968750,
1.422319,5.000000,5.000000,388.571472,388.571472,10.914062,10.687500,10.632812,10.656250,37.562500,33.593750,40.562500,33.218750,
1.442341,5.000000,5.000000,468.571411,468.571411,10.671875,10.703125,10.687500,10.531250,45.406250,30.218750,38.343750,39.500000,
1.462395,5.000000,5.000000,468.571411,468.571411,10.804688,10.351562,10.578125,10.414062,38.312500,41.531250,34.218750,38.093750,
1.482395,5.000000,5.000000,542.857178,542.857178,10.875000,10.445312,10.671875,10.609375,39.125000,37.562500,39.281250,34.812500,
1.502343,5.000000,5.000000,668.571411,668.571411,10.796875,10.375000,10.625000,10.523438,42.687500,29.468750,33.718750,36.187500,
1.522484,5.000000,5.000000,668.571411,668.571411,10.742188,10.312500,10.460938,10.421875,45.281250,36.843750,44.750000,35.343750,
1.542411,5.000000,5.000000,800.000000,800.000000,10.781250,10.359375,10.656250,10.468750,42.531250,33.312500,31.343750,31.781250,
1.562303,5.000000,5.000000,800.000000,800.000000,10.734375,10.117188,10.414062,10.398438,43.156250,39.937500,40.250000,34.343750,
1.582542,5.000000,5.000000,931.428650,931.428650,10.710938,10.132812,10.421875,10.312500,34.968750,34.406250,28.437500,36.968750,
1.602380,5.000000,5.000000,1062.857178,1062.857178,10.898438,10.304688,10.554688,10.546875,35.187500,29.750000,37.562500,27.531250,
1.622433,5.000000,5.000000,1062.857178,1062.857178,10.671875,10.218750,10.328125,10.250000,43.718750,29.718750,39.406250,37.062500,
1.642707,5.000000,5.000000,1211.428467,1211.428467,10.820312,10.171875,10.414062,10.312500,38.656250,36.625000,33.687500,30.531250,
1.662345,5.000000,5.000000,1342.857056,1342.857056,10.929688,10.171875,10.437500,10.507812,40.500000,36.625000,31.531250,26.937500,
1.682549,1.116002,1.116002,1342.857056,1342.857056,13.148438,10.109375,10.421875,10.375000,0.000000,37.750000,29.781250,32.687500,
1.702483,0.000000,-0.000000,1417.142822,1417.142822,12.335938,12.304688,12.460938,12.250000,0.000000,0.000000,0.000000,0.000000,
1.722473,0.000000,-0.000000,1377.142700,1377.142700,12.484375,12.117188,12.148438,12.187500,0.000000,0.000000,0.000000,0.000000,
1.742699,0.000000,-0.000000,1377.142700,1377.142700,12.390625,12.156250,12.171875,12.203125,0.000000,0.000000,0.000000,0.000000,
1.762501,0.000000,-0.000000,1365.713989,1365.713989,12.406250,12.156250,12.195312,12.234375,0.000000,0.000000,0.000000,0.000000,
1.782282,0.000000,-0.000000,1365.713989,1365.713989,12.468750,12.218750,12.242188,12.226562,0.000000,0.000000,0.000000,0.000000,
1.802280,0.000000,-0.000000,1319.999756,1319.999756,12.414062,12.171875,12.242188,12.257812,0.000000,0.000000,0.000000,0.000000,
1.823075,0.000000,-0.000000,1234.285400,1234.285400,12.429688,12.171875,12.242188,12.250000,0.000000,0.000000,0.000000,0.000000,
1.842636,0.000000,-0.000000,1234.285400,1234.285400,12.453125,12.179688,12.226562,12.242188,0.000000,0.000000,0.000000,0.000000,
1.862592,0.000000,-0.000000,1114.285522,1114.285522,12.453125,12.187500,12.226562,12.257812,0.000000,0.000000,0.000000,0.000000,
1.882502,0.000000,-0.000000,954.285522,954.285522,12.445312,12.195312,12.234375,12.257812,0.000000,0.000000,0.000000,0.000000,
1.904817,0.000000,-0.000000,954.285522,954.285522,12.445312,12.195312,12.242188,12.257812,0.000000,0.000000,0.000000,0.000000,
1.922259,0.000000,-0.000000,782.857056,782.857056,12.453125,12.195312,12.234375,12.265625,0.000000,0.000000,0.000000,0.000000,
1.943049,0.000000,-0.000000,622.856934,622.856934,12.453125,12.203125,12.242188,12.265625,0.000000,0.000000,0.000000,0.000000,
1.962402,0.000000,-0.000000,622.856934,622.856934,12.453125,12.203125,12.226562,12.273438,0.000000,0.000000,0.000000,0.000000,
1.982532,0.000000,-0.000000,554.285522,554.285522,12.460938,12.203125,12.250000,12.265625,0.000000,0.000000,0.000000,0.000000,
2.002402,0.000000,-0.000000,439.999756,439.999756,12.460938,12.210938,12.242188,12.273438,0.000000,0.000000,0.000000,0.000000,
2.022479,0.000000,-0.000000,439.999756,439.999756,12.468750,12.210938,12.250000,12.281250,0.000000,0.000000,0.000000,0.000000,
2.042421,0.000000,-0.000000,325.714233,325.714233,12.468750,12.210938,12.250000,12.273438,0.000000,0.000000,0.000000,0.000000,
2.062405,0.000000,-0.000000,325.714233,325.714233,12.468750,12.210938,12.250000,12.289062,0.000000,0.000000,0.000000,0.000000,
2.082395,0.000000,-0.000000,234.285645,234.285645,12.468750,12.218750,12.265625,12.273438,0.000000,0.000000,0.000000,0.000000,
2.102498,0.000000,-0.000000,159.999878,159.999878,12.468750,12.218750,12.257812,12.281250,0.000000,0.000000,0.000000,0.000000,
2.122449,0.000000,-0.000000,159.999878,159.999878,12.468750,12.226562,12.257812,12.289062,0.000000,0.000000,0.000000,0.000000,
2.142571,0.000000,-0.000000,97.142822,97.142822,12.476562,12.218750,12.265625,12.281250,0.000000,0.000000,0.000000,0.000000,
2.162359,0.000000,-0.000000,51.428589,51.428589,12.476562,12.234375,12.257812,12.289062,0.000000,0.000000,0.000000,0.000000,
2.182375,0.000000,-0.000000,51.428589,51.428589,12.476562,12.234375,12.265625,12.281250,0.000000,0.000000,0.000000,0.000000,
2.202345,0.000000,-0.000000,17.142822,17.142822,12.484375,12.226562,12.273438,12.289062,0.000000,0.000000,0.000000,0.000000,
2.222268,0.000000,-0.000000,0.000000,0.000000,12.484375,12.226562,12.265625,12.304688,0.000000,0.000000,0.000000,0.000000,
2.243673,0.000000,-0.000000,0.000000,0.000000,12.484375,12.234375,12.265625,12.289062,0.000000,0.000000,0.000000,0.000000,
2.262299,0.000000,-0.000000,-11.428589,-11.428589,12.484375,12.234375,12.273438,12.304688,0.000000,0.000000,0.000000,0.000000,
2.282442,0.079360,0.079360,-11.428589,-11.428589,12.484375,12.234375,12.265625,12.289062,0.093750,0.000000,0.000000,0.000000,
2.302420,1.519003,1.519003,-11.428589,-11.428589,12.429688,12.234375,12.273438,12.289062,0.000000,0.062500,0.062500,0.218750,
2.322346,3.888648,3.888648,-5.714294,-5.714294,12.359375,12.171875,12.171875,12.242188,0.250000,0.000000,0.125000,0.031250,
2.342692,4.614049,4.614049,-5.714294,-5.714294,12.210938,11.812500,12.156250,12.210938,0.250000,12.375000,0.000000,0.000000,
2.362299,4.614049,4.614049,11.428558,11.428558,11.859375,11.812500,12.148438,12.195312,27.156250,12.375000,0.000000,0.000000,
2.382397,4.690000,4.690000,28.571411,28.571411,11.562500,11.609375,11.523438,11.343750,30.156250,28.500000,28.593750,31.593750,
2.402490,4.690000,4.690000,28.571411,28.571411,11.406250,11.367188,11.296875,11.218750,32.312500,28.812500,32.250000,31.906250,
2.422792,4.690000,4.690000,51.428558,51.428558,11.203125,11.078125,11.210938,11.164062,34.343750,32.656250,33.718750,21.843750,
2.442455,4.690000,4.690000,85.714294,85.714294,11.093750,11.078125,10.968750,11.062500,26.218750,32.656250,35.562500,31.000000,
2.462471,4.243598,4.243598,85.714294,85.714294,10.968750,11.062500,11.023438,10.882812,34.343750,32.781250,35.406250,31.250000,
2.482389,1.886044,1.886044,131.428589,131.428589,11.000000,10.906250,11.031250,10.890625,32.718750,33.937500,24.843750,30.031250,
2.502321,0.279001,0.279001,182.857147,182.857147,12.429688,10.929688,11.085938,11.039062,0.031250,35.125000,32.250000,26.125000,
2.522393,0.015190,0.015190,182.857147,182.857147,12.437500,12.164062,12.179688,12.226562,0.000000,0.000000,0.000000,0.000000,
2.542650,0.000000,-0.000000,194.285721,194.285721,12.437500,12.210938,12.250000,12.257812,0.000000,0.000000,0.000000,0.000000,
2.562551,0.000000,-0.000000,194.285721,194.285721,12.437500,12.210938,12.242188,12.281250,0.000000,0.000000,0.000000,0.000000,
2.582396,0.000000,-0.000000,200.000015,200.000015,12.453125,12.218750,12.265625,12.273438,0.000000,0.000000,0.000000,0.000000,
