Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.851562,11.601562,11.648438,11.671875,0.000000,0.000000,0.000000,0.000000,
0.019994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.851562,11.593750,11.648438,11.671875,0.000000,0.000000,0.000000,0.000000,
0.039937,0.036926,-0.036926,0.000000,0.000000,0.002747,0.002747,-0.002747,-0.002747,11.851562,11.609375,11.648438,11.679688,0.000000,0.000000,0.093750,0.000000,
0.060049,0.036926,-0.036926,0.000000,0.000000,0.002747,0.002747,-0.002747,-0.002747,11.843750,11.593750,11.648438,11.664062,0.156250,0.062500,0.125000,0.156250,
0.079951,0.036926,-0.036926,0.000000,0.000000,0.002747,0.002747,-0.002747,-0.002747,11.851562,11.601562,11.648438,11.671875,0.156250,0.093750,0.125000,0.125000,
0.099992,0.036926,-0.036926,0.000000,0.000000,0.002747,0.002747,-0.002747,-0.002747,11.851562,11.593750,11.648438,11.671875,0.156250,0.062500,0.125000,0.125000,
0.119952,0.036926,-0.036926,0.000000,0.000000,0.002747,0.002747,-0.002747,-0.002747,11.843750,11.593750,11.632812,11.671875,0.187500,0.093750,0.125000,0.125000,
0.139911,0.036926,-0.036926,0.000000,0.000000,0.002747,0.002747,-0.002747,-0.002747,11.843750,11.601562,11.648438,11.664062,0.156250,0.062500,0.125000,0.125000,
0.159987,0.036926,-0.036926,0.000000,0.000000,0.002747,0.002747,-0.002747,-0.002747,11.835938,11.593750,11.640625,11.679688,0.156250,0.093750,0.093750,0.156250,
0.179997,0.036926,-0.036926,0.000000,0.000000,0.002747,0.002747,-0.002747,-0.002747,11.835938,11.593750,11.632812,11.671875,0.156250,0.062500,0.093750,0.125000,
0.200005,0.030518,-0.030518,0.000000,0.000000,0.002747,0.002747,-0.002747,-0.002747,11.843750,11.593750,11.640625,11.671875,0.156250,0.062500,0.125000,0.125000,
0.219951,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.828125,11.593750,11.640625,11.679688,0.156250,0.093750,0.125000,0.125000,
0.239914,0.024719,-0.024719,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.835938,11.593750,11.640625,11.671875,0.156250,0.093750,0.125000,0.125000,
0.259965,0.024719,-0.024719,0.000000,0.000000,0.001831,0.001831,-0.001831,-0.001831,11.835938,11.593750,11.640625,11.664062,0.156250,0.062500,0.093750,0.125000,
0.280178,0.019531,-0.019531,0.000000,0.000000,0.001831,0.001831,-0.001831,-0.001831,11.835938,11.593750,11.648438,11.671875,0.125000,0.031250,0.093750,0.093750,
