Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.445312,11.203125,11.242188,11.273438,0.000000,0.000000,0.000000,0.000000,
0.019883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.445312,11.218750,11.257812,11.289062,0.000000,0.000000,0.000000,0.000000,
0.040478,0.019531,-0.019531,0.000000,0.000000,0.002899,0.000000,-0.002899,0.000000,11.445312,11.210938,11.250000,11.289062,0.000000,0.000000,0.000000,0.000000,
0.059956,0.019531,-0.019531,0.000000,0.000000,0.002899,0.002899,-0.002899,-0.002899,11.437500,11.195312,11.250000,11.289062,0.156250,0.125000,0.125000,0.125000,
0.079958,0.019531,-0.019531,0.000000,0.000000,0.002899,0.002899,-0.002899,-0.002899,11.437500,11.203125,11.242188,11.281250,0.187500,0.093750,0.093750,0.125000,
0.100097,0.019531,-0.019531,0.000000,0.000000,0.002899,0.002899,-0.002899,-0.002899,11.437500,11.203125,11.242188,11.281250,0.187500,0.125000,0.125000,0.125000,
0.119968,0.019531,-0.019531,0.000000,0.000000,0.002899,0.002899,-0.002899,-0.002899,11.437500,11.210938,11.250000,11.273438,0.156250,0.125000,0.125000,0.125000,
0.139959,0.019531,-0.019531,0.000000,0.000000,0.002899,0.002899,-0.002899,-0.002899,11.437500,11.203125,11.250000,11.273438,0.156250,0.093750,0.125000,0.125000,
0.160093,0.019531,-0.019531,0.000000,0.000000,0.002899,0.002899,-0.002899,-0.002899,11.445312,11.203125,11.250000,11.281250,0.156250,0.093750,0.125000,0.125000,
0.179880,0.019531,-0.019531,0.000000,0.000000,0.002899,0.002899,-0.002899,-0.002899,11.437500,11.203125,11.242188,11.281250,0.156250,0.093750,0.125000,0.125000,
0.199987,0.019531,-0.019531,0.000000,0.000000,0.002899,0.002899,-0.002899,-0.002899,11.445312,11.203125,11.242188,11.281250,0.156250,0.093750,0.125000,0.125000,
0.220050,0.019531,-0.019531,0.000000,0.000000,0.002899,0.002899,-0.002899,-0.002899,11.437500,11.203125,11.242188,11.273438,0.156250,0.093750,0.125000,0.156250,
