Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.359375,11.125000,11.179688,11.210938,0.000000,0.000000,0.000000,0.000000,
0.020086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.359375,11.148438,11.187500,11.203125,0.000000,0.000000,0.000000,0.000000,
0.040050,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.367188,11.140625,11.179688,11.195312,0.000000,0.000000,0.000000,0.125000,
0.060061,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.359375,11.125000,11.179688,11.195312,0.156250,0.093750,0.093750,0.125000,
0.080167,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.359375,11.132812,11.171875,11.195312,0.125000,0.125000,0.125000,0.125000,
0.100039,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.359375,11.125000,11.171875,11.195312,0.125000,0.093750,0.125000,0.125000,
0.120036,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.359375,11.132812,11.164062,11.203125,0.218750,0.093750,0.125000,0.125000,
0.140073,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.359375,11.125000,11.171875,11.195312,0.187500,0.125000,0.125000,0.125000,
0.160110,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.367188,11.132812,11.171875,11.195312,0.187500,0.093750,0.125000,0.156250,
0.180153,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.359375,11.125000,11.171875,11.195312,0.156250,0.093750,0.125000,0.187500,
0.200149,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.351562,11.125000,11.179688,11.203125,0.156250,0.093750,0.125000,0.125000,
0.220152,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.359375,11.125000,11.179688,11.195312,0.125000,0.093750,0.125000,0.156250,
0.240220,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.359375,11.132812,11.187500,11.195312,0.187500,0.093750,0.125000,0.156250,
0.260269,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.359375,11.125000,11.171875,11.195312,0.125000,0.093750,0.125000,0.125000,
0.280192,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.359375,11.132812,11.171875,11.203125,0.156250,0.093750,0.093750,0.156250,
0.300526,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.351562,11.132812,11.179688,11.195312,0.187500,0.125000,0.093750,0.156250,
0.320138,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.359375,11.132812,11.171875,11.187500,0.156250,0.093750,0.125000,0.156250,
0.340120,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.351562,11.125000,11.171875,11.203125,0.125000,0.125000,0.125000,0.125000,
0.360156,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.359375,11.125000,11.179688,11.203125,0.125000,0.093750,0.125000,0.156250,
0.380392,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.359375,11.125000,11.171875,11.195312,0.156250,0.093750,0.093750,0.125000,
0.401376,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.367188,11.125000,11.179688,11.210938,0.187500,0.125000,0.125000,0.125000,
0.420145,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.367188,11.140625,11.171875,11.195312,0.156250,0.093750,0.156250,0.156250,
