Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.101562,11.851562,11.882812,11.906250,0.000000,0.000000,0.000000,0.000000,
0.020144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.101562,11.851562,11.890625,11.914062,0.000000,0.000000,0.000000,0.000000,
0.040039,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.093750,11.851562,11.867188,11.906250,0.125000,0.000000,0.031250,0.250000,
0.060232,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.093750,11.835938,11.882812,11.906250,0.031250,0.031250,0.031250,0.000000,
0.080095,0.051575,-0.051575,0.025143,0.000000,0.007782,0.007782,-0.010285,-0.010285,12.085938,11.835938,11.875000,11.906250,0.000000,0.031250,0.000000,0.000000,
0.100242,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.875000,11.906250,0.031250,0.062500,0.062500,0.062500,
0.120244,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.835938,11.875000,11.906250,0.031250,0.062500,0.125000,0.250000,
0.140123,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.867188,11.898438,0.031250,0.031250,0.531250,0.312500,
0.160959,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.835938,11.875000,11.914062,0.125000,0.093750,0.125000,0.187500,
0.180024,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.835938,11.882812,11.906250,0.125000,0.093750,0.187500,0.343750,
0.200223,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.843750,11.875000,11.906250,0.031250,0.031250,0.312500,0.343750,
0.220194,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.843750,11.882812,11.906250,0.031250,0.000000,0.375000,0.156250,
0.240106,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.835938,11.882812,11.906250,0.125000,0.062500,0.218750,0.218750,
0.260056,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.843750,11.882812,11.906250,0.031250,0.093750,0.218750,0.281250,
0.280046,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.843750,11.882812,11.898438,0.187500,0.093750,0.156250,0.187500,
0.300109,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.835938,11.875000,11.906250,0.156250,0.125000,0.312500,0.187500,
0.320116,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.835938,11.875000,11.906250,0.156250,0.281250,0.250000,0.156250,
0.340281,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.085938,11.835938,11.875000,11.906250,0.187500,0.062500,0.093750,0.343750,
0.360069,0.051575,-0.051575,0.025143,0.000000,0.007782,0.007782,-0.010285,-0.010285,12.085938,11.835938,11.875000,11.906250,0.093750,0.062500,0.156250,0.187500,
0.380130,0.051575,-0.051575,0.025143,0.000000,0.007782,0.007782,-0.010285,-0.010285,12.085938,11.835938,11.875000,11.906250,0.187500,0.000000,0.093750,0.187500,
0.400058,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.010285,-0.010285,12.093750,11.828125,11.875000,11.906250,0.031250,0.093750,0.000000,0.156250,
0.420101,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.835938,11.875000,11.906250,0.156250,0.031250,0.093750,0.062500,
0.440144,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.835938,11.875000,11.906250,0.343750,0.093750,0.187500,0.281250,
0.460058,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.882812,11.906250,0.187500,0.031250,0.218750,0.250000,
0.480042,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.843750,11.882812,11.906250,0.093750,0.031250,0.093750,0.343750,
0.500260,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.851562,11.875000,11.906250,0.250000,0.093750,0.343750,0.093750,
0.520188,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.843750,11.875000,11.906250,0.250000,0.093750,0.062500,0.500000,
0.539994,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.843750,11.875000,11.898438,0.218750,0.156250,0.125000,0.156250,
0.560263,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.875000,11.906250,0.093750,0.250000,0.093750,0.281250,
0.580085,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.875000,11.906250,0.093750,0.250000,0.156250,0.593750,
0.600198,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.875000,11.906250,0.250000,0.062500,0.156250,0.312500,
0.620042,0.051575,-0.051575,0.000000,-0.025143,0.010285,0.010285,-0.007782,-0.007782,12.085938,11.835938,11.875000,11.906250,0.187500,0.062500,0.093750,0.343750,
0.640150,0.051575,-0.051575,0.000000,-0.025143,0.010285,0.010285,-0.007782,-0.007782,12.085938,11.835938,11.875000,11.898438,0.218750,0.125000,0.125000,0.343750,
0.660070,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.078125,11.843750,11.882812,11.898438,0.250000,0.093750,0.156250,0.281250,
0.680102,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.093750,11.843750,11.875000,11.906250,0.218750,0.000000,0.156250,0.156250,
0.700415,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.085938,11.843750,11.875000,11.906250,0.187500,0.000000,0.156250,0.125000,
0.720354,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.085938,11.828125,11.867188,11.906250,0.156250,0.062500,0.250000,0.187500,
0.740183,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.093750,11.835938,11.875000,11.898438,0.062500,0.031250,0.125000,0.125000,
0.760118,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.101562,11.835938,11.875000,11.914062,0.000000,0.125000,0.000000,0.093750,
0.780066,0.051575,-0.051575,0.000000,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.101562,11.828125,11.867188,11.906250,0.000000,0.156250,0.000000,0.031250,
0.800036,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.867188,11.906250,0.125000,0.156250,0.093750,0.000000,
0.820875,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.882812,11.906250,0.093750,0.250000,0.218750,0.468750,
0.840097,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.875000,11.914062,0.125000,0.250000,0.156250,0.218750,
0.860100,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.875000,11.914062,0.156250,0.125000,0.312500,0.343750,
0.880006,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.875000,11.906250,0.156250,0.156250,0.062500,0.156250,
0.900496,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.843750,11.882812,11.906250,0.093750,0.156250,0.031250,0.031250,
0.920289,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.835938,11.875000,11.906250,0.000000,0.281250,0.125000,0.093750,
0.940017,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.835938,11.875000,11.921875,0.000000,0.281250,0.156250,0.093750,
0.960125,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.875000,11.914062,0.093750,0.343750,0.312500,0.125000,
0.980223,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.835938,11.882812,11.914062,0.093750,0.343750,0.062500,0.281250,
1.000935,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.843750,11.875000,11.906250,0.062500,0.375000,0.093750,0.281250,
1.020153,0.051575,-0.051575,0.000000,-0.025143,0.010285,0.010285,-0.007782,-0.007782,12.093750,11.820312,11.875000,11.906250,0.125000,0.250000,0.093750,0.093750,
1.040285,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.093750,11.820312,11.875000,11.906250,0.125000,0.250000,0.125000,0.187500,
1.060105,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.828125,11.875000,11.898438,0.093750,0.000000,0.218750,0.000000,
1.080558,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.843750,11.875000,11.906250,0.125000,0.343750,0.250000,0.000000,
1.100178,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.843750,11.875000,11.906250,0.125000,0.343750,0.031250,0.093750,
1.120152,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.835938,11.875000,11.906250,0.125000,0.218750,0.000000,0.281250,
1.140058,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.835938,11.882812,11.906250,0.125000,0.312500,0.062500,0.406250,
1.160031,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.875000,11.898438,0.250000,0.343750,0.000000,0.156250,
1.180043,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.835938,11.882812,11.914062,0.156250,0.343750,0.031250,0.187500,
1.200329,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.843750,11.875000,11.898438,0.156250,0.187500,0.156250,0.281250,
1.220201,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.843750,11.882812,11.906250,0.093750,0.250000,0.000000,0.062500,
1.240115,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.843750,11.875000,11.914062,0.093750,0.250000,0.000000,0.187500,
1.259984,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.093750,11.843750,11.882812,11.906250,0.250000,0.406250,0.156250,0.437500,
1.280119,0.051575,-0.051575,0.025143,-0.025143,0.007782,0.007782,-0.007782,-0.007782,12.085938,11.843750,11.875000,11.906250,0.031250,0.281250,0.000000,0.125000,
1.300048,0.051575,-0.051575,0.025143,-0.025143,0.010285,0.010285,-0.007782,-0.007782,12.085938,11.828125,11.875000,11.906250,0.031250,0.187500,0.031250,0.312500,
1.320161,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.093750,11.820312,11.875000,11.898438,0.312500,0.343750,0.093750,0.250000,
1.340055,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.093750,11.820312,11.867188,11.906250,0.218750,0.343750,0.156250,0.062500,
1.360121,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.085938,11.828125,11.875000,11.906250,0.281250,0.312500,0.062500,0.031250,
1.380025,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.085938,11.828125,11.875000,11.914062,0.281250,0.312500,0.062500,0.156250,
1.400105,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.078125,11.843750,11.882812,11.898438,0.281250,0.406250,0.093750,0.156250,
1.420169,0.051575,-0.051575,0.000000,0.000000,0.010285,0.010285,-0.010285,-0.010285,12.078125,11.820312,11.882812,11.906250,0.281250,0.281250,0.062500,0.000000,
1.440113,0.051575,-0.051575,0.000000,-0.025143,0.010285,0.010285,-0.007782,-0.007782,12.085938,11.828125,11.882812,11.906250,0.375000,0.343750,0.000000,0.062500,
1.460109,0.051575,-0.051575,0.000000,-0.025143,0.010285,0.010285,-0.007782,-0.007782,12.085938,11.828125,11.882812,11.906250,0.406250,0.281250,0.093750,0.062500,
1.480012,0.051575,-0.051575,0.000000,-0.025143,0.010285,0.010285,-0.007782,-0.007782,12.085938,11.835938,11.882812,11.906250,0.406250,0.343750,0.062500,0.093750,
1.500013,0.051575,-0.051575,0.000000,-0.025143,0.010285,0.010285,-0.007782,-0.007782,12.085938,11.835938,11.882812,11.906250,0.281250,0.312500,0.031250,0.250000,
1.520010,0.051575,-0.051575,0.000000,-0.025143,0.010285,0.010285,-0.007782,-0.007782,12.085938,11.835938,11.875000,11.914062,0.281250,0.312500,0.093750,0.062500,
