Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,AngleError_DB,Speed,Omega
0.000907,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.020478,1,0,13.073662,-3.073662,-3.264191,-3.264191,0.000000,0.000000
0.040567,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.060332,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.080374,1,0,13.073662,-3.073662,-3.264191,-3.264191,0.000000,0.000000
0.100403,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.120334,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.140379,1,0,13.073662,-3.073662,-3.264191,-3.264191,0.000000,0.000000
0.160361,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.180475,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.200422,1,0,13.073662,-3.073662,-3.264191,-3.264191,0.000000,0.000000
0.220605,1,0,13.073662,-3.073662,-3.264191,-3.264191,0.000000,0.000000
0.240482,1,0,13.073662,-3.073662,-3.264191,-3.264191,0.000000,0.000000
0.260344,1,0,13.073662,-3.073662,-3.264191,-3.264191,0.000000,0.000000
0.280739,1,0,13.071505,-3.071505,-3.364601,-3.364601,0.000000,0.000000
0.300482,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.320436,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.340590,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.360578,1,0,13.073662,-3.073662,-3.264191,-3.264191,0.000000,0.000000
0.380346,1,0,13.073662,-3.073662,-3.264191,-3.264191,0.000000,0.000000
0.400448,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.420502,1,0,13.071505,-3.071505,-3.364601,-3.364601,0.000000,0.000000
0.441227,1,0,13.073662,-3.073662,-3.264191,-3.264191,0.000000,0.000000
0.461230,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.480482,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.500618,1,0,13.092008,-3.092008,-3.319786,-3.319786,0.000000,0.000000
0.520427,1,0,13.073662,-3.073662,-3.264191,-3.264191,0.000000,0.000000
0.540518,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.560591,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.581033,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.600482,1,0,13.073662,-3.073662,-3.264191,-3.264191,0.000000,0.000000
0.620390,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
0.640422,1,0,13.090567,-3.090567,-3.319748,-3.319748,0.000000,0.000000
