Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,AngleError_DB,Speed,Omega
0.000642,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.019437,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
0.040449,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.059451,1,0,10.092095,-0.092095,6.215401,6.215401,0.000000,0.000000
0.079361,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
0.100436,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.120059,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.139369,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.159724,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.179344,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.199435,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.220723,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.239945,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.261101,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
0.279698,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
0.300345,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.320503,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.339731,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.359620,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.380460,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.400614,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.420316,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
0.440195,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
0.459432,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.479561,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.500577,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.520242,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.539918,1,0,10.092095,-0.092095,6.215401,6.215401,0.000000,0.000000
0.560743,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.580667,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
0.599542,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
0.620346,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
0.640380,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.660870,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.680373,1,0,10.092095,-0.092095,6.215401,6.215401,0.000000,0.000000
0.700307,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
0.720174,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.739612,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.759954,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.779328,1,0,10.095368,-0.095368,6.215591,6.215591,0.000000,0.000000
0.800738,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.819921,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
0.840202,1,0,10.083907,-0.083907,6.214920,6.214920,0.000000,0.000000
0.859543,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.880863,1,0,10.085545,-0.085545,6.215019,6.215019,0.000000,0.000000
0.899949,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.920568,1,0,10.083907,-0.083907,6.214920,6.214920,0.000000,0.000000
0.940033,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
0.960552,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
0.980150,1,0,10.093727,-0.093727,6.215492,6.215492,0.000000,0.000000
1.000347,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
1.019365,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
1.041249,1,0,10.083093,-0.083093,6.214874,6.214874,0.000000,0.000000
1.059557,1,0,10.084724,-0.084724,6.214973,6.214973,0.000000,0.000000
1.079856,1,0,10.092095,-0.092095,6.215401,6.215401,0.000000,0.000000
1.099587,1,0,10.083502,-0.083502,6.112228,6.112228,0.000000,0.000000
1.120650,1,0,10.118225,-0.118225,6.152901,6.152901,0.000000,0.000000
1.139476,1,0,10.124887,-0.124887,5.648109,5.648109,0.000000,0.000000
1.160393,1,0,10.162669,-0.162669,4.909996,4.909996,0.000000,0.000000
1.180518,1,0,10.175579,-0.175579,4.339859,4.339859,0.000000,0.000000
1.199561,1,0,10.284014,-0.284014,3.505653,3.505653,0.000000,0.000000
1.219957,1,0,10.202962,-0.202962,2.622086,2.622086,0.000000,0.000000
1.239682,1,0,10.245729,-0.245729,0.017509,0.017509,0.000000,0.000000
1.260136,1,0,10.245729,-0.245729,-1.622734,-1.622734,0.000000,0.000000
1.280358,1,0,10.416349,-0.416349,-2.471214,-2.471214,0.000000,0.000000
1.299488,1,0,10.380907,-0.380907,-3.044121,-3.044121,0.000000,0.000000
1.319869,1,0,10.412302,-0.412302,-3.052765,-3.052765,0.000000,0.000000
1.340130,1,0,10.254819,-0.254819,-2.584770,-2.584770,0.000000,0.000000
1.359546,1,0,10.262897,-0.262897,-2.211555,-2.211555,0.000000,0.000000
1.379586,1,0,10.244468,-0.244468,-1.928680,-1.928680,0.000000,0.000000
1.401468,1,0,10.244031,-0.244031,-1.212723,-1.212723,0.000000,0.000000
1.421089,1,0,10.175776,-0.175776,-0.759796,-0.759796,0.000000,0.000000
1.439406,1,0,10.189938,-0.189938,-0.799477,-0.799477,0.000000,0.000000
1.460516,1,0,10.148679,-0.148679,-0.452049,-0.452049,0.000000,0.000000
1.479612,1,0,10.109081,-0.109081,-0.307617,-0.307617,0.000000,0.000000
1.500631,1,0,10.038165,-0.038165,-0.229881,-0.229881,0.000000,0.000000
1.519669,1,0,10.032201,-0.032201,-0.190369,-0.190369,0.000000,0.000000
