Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,AngleError_DB,Speed,Omega
0.000710,1,0,7.156292,2.843708,-1.316399,-1.316399,0.000000,0.000000
0.020335,1,0,7.171734,2.828266,-1.357468,-1.357468,0.000000,0.000000
0.040305,1,0,7.173502,2.826498,-1.357346,-1.357346,0.000000,0.000000
0.060254,1,0,7.158933,2.841067,-1.316093,-1.316093,0.000000,0.000000
0.080388,1,0,7.173502,2.826498,-1.357346,-1.357346,0.000000,0.000000
0.100286,1,0,7.171734,2.828266,-1.357468,-1.357468,0.000000,0.000000
0.120232,1,0,7.173502,2.826498,-1.357346,-1.357346,0.000000,0.000000
0.140275,1,0,7.173502,2.826498,-1.357346,-1.357346,0.000000,0.000000
0.160274,1,0,7.175270,2.824730,-1.357216,-1.357216,0.000000,0.000000
0.180246,1,0,7.173502,2.826498,-1.357346,-1.357346,0.000000,0.000000
0.200301,1,0,7.171734,2.828266,-1.357468,-1.357468,0.000000,0.000000
0.220290,1,0,7.173502,2.826498,-1.357346,-1.357346,0.000000,0.000000
0.240300,1,0,7.175270,2.824730,-1.357216,-1.357216,0.000000,0.000000
0.260280,1,0,7.173502,2.826498,-1.357346,-1.357346,0.000000,0.000000
0.280250,1,0,7.154967,2.845033,-1.316544,-1.316544,0.000000,0.000000
0.300297,1,0,7.171734,2.828266,-1.357468,-1.357468,0.000000,0.000000
0.320634,1,0,7.152327,2.847673,-1.316833,-1.316833,0.000000,0.000000
0.340468,1,0,7.172617,2.827383,-1.357414,-1.357414,0.000000,0.000000
0.360275,1,0,7.171734,2.828266,-1.357468,-1.357468,0.000000,0.000000
0.380328,1,0,7.171734,2.828266,-1.357468,-1.357468,0.000000,0.000000
0.400343,1,0,7.172617,2.827383,-1.357414,-1.357414,0.000000,0.000000
0.420345,1,0,7.175270,2.824730,-1.357216,-1.357216,0.000000,0.000000
0.440436,1,0,7.175270,2.824730,-1.357216,-1.357216,0.000000,0.000000
0.460448,1,0,7.173502,2.826498,-1.357346,-1.357346,0.000000,0.000000
0.480545,1,0,7.170849,2.829151,-1.357536,-1.357536,0.000000,0.000000
0.500312,1,0,7.172617,2.827383,-1.357414,-1.357414,0.000000,0.000000
0.520257,1,0,7.173502,2.826498,-1.357346,-1.357346,0.000000,0.000000
0.540396,1,0,7.152327,2.847673,-1.316833,-1.316833,0.000000,0.000000
0.560305,1,0,7.172617,2.827383,-1.357414,-1.357414,0.000000,0.000000
0.580289,1,0,7.173502,2.826498,-1.357346,-1.357346,0.000000,0.000000
0.600387,1,0,7.171734,2.828266,-1.357468,-1.357468,0.000000,0.000000
0.620463,1,0,7.175270,2.824730,-1.357216,-1.357216,0.000000,0.000000
0.640445,1,0,7.157615,2.842385,-1.316246,-1.316246,0.000000,0.000000
0.660294,1,0,7.173502,2.826498,-1.357346,-1.357346,0.000000,0.000000
0.680518,1,0,7.173502,2.826498,-1.357346,-1.357346,0.000000,0.000000
0.700295,1,0,7.174387,2.825613,-1.357285,-1.357285,0.000000,0.000000
0.720272,1,0,7.175270,2.824730,-1.357216,-1.357216,0.000000,0.000000
0.740489,1,0,7.174387,2.825613,-1.357285,-1.357285,0.000000,0.000000
0.760450,1,0,7.158933,2.841067,-1.316093,-1.316093,0.000000,0.000000
0.780421,1,0,7.174387,2.825613,-1.357285,-1.357285,0.000000,0.000000
0.800254,1,0,7.174387,2.825613,-1.357285,-1.357285,0.000000,0.000000
0.820266,1,0,7.175270,2.824730,-1.357216,-1.357216,0.000000,0.000000
0.840230,1,0,7.175270,2.824730,-1.357216,-1.357216,0.000000,0.000000
0.860343,1,0,7.172617,2.827383,-1.357414,-1.357414,0.000000,0.000000
0.880416,1,0,7.158933,2.841067,-1.316093,-1.316093,0.000000,0.000000
