Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,AngleError_DB,Speed,Omega
0.000627,1,0,4.151610,5.848390,-25.198929,-25.198929,0.000000,0.000000
0.020395,1,0,4.129780,5.870220,-25.669525,-25.669525,0.000000,0.000000
0.040507,1,0,4.155094,5.844906,-25.252602,-25.252602,0.000000,0.000000
0.060434,1,0,4.142929,5.857071,-25.210777,-25.210777,0.000000,0.000000
0.080483,1,0,4.120943,5.879057,-25.419724,-25.419724,0.000000,0.000000
0.100346,1,0,4.135618,5.864382,-25.406906,-25.406906,0.000000,0.000000
0.120410,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.140514,1,0,4.029282,5.970718,-25.978470,-25.978470,0.000000,0.000000
0.160379,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.181233,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200552,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.220463,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.240488,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.260582,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.280730,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300791,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.320409,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.340391,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.360547,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.380741,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.401756,1,0,4.131270,5.868730,-25.730713,-25.730713,0.000000,0.000000
0.420555,1,0,4.055313,5.944687,-25.900803,-25.900803,0.000000,0.000000
0.440497,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.460413,1,0,4.062817,5.937183,-25.992867,-25.992867,0.000000,0.000000
0.480338,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500538,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.520454,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.540316,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.560350,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.580661,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600414,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.620520,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.640399,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.660503,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.680355,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.701027,1,0,4.172536,5.827464,-25.031448,-25.031448,0.000000,0.000000
0.720564,1,0,4.197138,5.802862,-24.968933,-24.968933,0.000000,0.000000
0.740427,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.760589,1,0,4.582681,5.417319,-18.890511,-18.890511,0.000000,0.000000
0.780981,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800990,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.820423,1,0,4.591805,5.408195,-17.909843,-17.909843,0.000000,0.000000
0.840524,1,0,4.706327,5.293673,-17.292549,-17.292549,0.000000,0.000000
0.860699,1,0,4.654292,5.345708,-16.761383,-16.761383,0.000000,0.000000
0.880992,1,0,4.725421,5.274579,-15.976166,-15.976166,0.000000,0.000000
0.900603,1,0,4.782943,5.217057,-15.181519,-15.181519,0.000000,0.000000
0.920457,1,0,4.674782,5.325218,-14.645592,-14.645592,0.000000,0.000000
0.940549,1,0,4.803841,5.196159,-14.052269,-14.052269,0.000000,0.000000
0.960445,1,0,4.834784,5.165216,-13.550735,-13.550735,0.000000,0.000000
0.980612,1,0,4.946996,5.053004,-13.007980,-13.007980,0.000000,0.000000
1.000945,1,0,4.917324,5.082676,-11.855476,-11.855476,0.000000,0.000000
1.020383,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.040532,1,0,4.842232,5.157768,-10.575897,-10.575897,0.000000,0.000000
1.060380,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.080559,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100520,1,0,4.977522,5.022478,-9.102501,-9.102501,0.000000,0.000000
1.120332,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.140486,1,0,5.142981,4.857019,-8.306442,-8.306442,0.000000,0.000000
1.160638,1,0,5.044698,4.955302,-7.823196,-7.823196,0.000000,0.000000
1.180421,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200591,1,0,4.947996,5.052004,-8.014389,-8.014389,0.000000,0.000000
1.220383,1,0,4.912693,5.087307,-7.960197,-7.960197,0.000000,0.000000
1.240685,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.260398,1,0,5.154001,4.845999,-6.804901,-6.804901,0.000000,0.000000
1.280582,1,0,5.146058,4.853942,-6.799446,-6.799446,0.000000,0.000000
1.300768,1,0,5.069760,4.930240,-6.984894,-6.984894,0.000000,0.000000
1.320484,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.340608,1,0,5.064404,4.935596,-7.239288,-7.239288,0.000000,0.000000
1.360516,1,0,5.023259,4.976741,-8.120964,-8.120964,0.000000,0.000000
1.380659,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.400586,1,0,5.174974,4.825026,-7.215309,-7.215309,0.000000,0.000000
1.420419,1,0,5.165894,4.834106,-7.210648,-7.210648,0.000000,0.000000
1.440494,1,0,5.160528,4.839472,-7.116539,-7.116539,0.000000,0.000000
1.460395,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.480525,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500347,1,0,5.152678,4.847322,-4.808167,-4.808167,0.000000,0.000000
1.520611,1,0,5.176948,4.823052,-4.003876,-4.003876,0.000000,0.000000
1.540439,1,0,5.159274,4.840726,-2.947784,-2.947784,0.000000,0.000000
1.560420,1,0,5.156095,4.843905,-2.097816,-2.097816,0.000000,0.000000
1.580561,1,0,5.201932,4.798068,0.615242,0.615242,0.000000,0.000000
1.600451,1,0,5.201932,4.798068,0.615242,0.615242,0.000000,0.000000
1.620358,1,0,5.177248,4.822752,2.357147,2.357147,0.000000,0.000000
1.640479,1,0,5.174018,4.825982,4.139877,4.139877,0.000000,0.000000
1.660628,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.680488,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.700356,1,0,5.059256,4.940744,10.315834,10.315834,0.000000,0.000000
1.720368,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.740440,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.760305,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.780337,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.800454,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.820367,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.840509,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.860343,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.880362,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.900357,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.920412,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.940399,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.960396,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
