Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,Speed,Omega
0.000684,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.020371,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.039978,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.059949,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.079962,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.099945,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.119959,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.140018,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.159908,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.181231,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.200186,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.219987,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.239937,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.259951,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.279987,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.300061,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.319945,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.339978,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.359936,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.380096,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.399983,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.419940,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.439929,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.460789,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.479944,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.499920,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.519894,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.539985,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.559948,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.580231,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.599944,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.620103,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.640007,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.659986,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.679923,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.700000,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.719924,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.739980,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.759983,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.779975,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.799944,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.820009,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.839972,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.859934,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.880014,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.900011,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.919931,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.939980,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.960084,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.979894,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
0.999927,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.019987,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.039952,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.059979,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.079937,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.100033,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.119956,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.139962,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.159929,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.179937,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.199906,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.219954,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.240012,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.259918,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.279898,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.299924,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.320080,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.340007,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.359978,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.380283,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.399945,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.419982,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.439963,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.459886,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
1.480762,1,0,12.428170,-2.428170,-3.439911,0.000000,0.000000
