Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,AngleError_DB,Speed,Omega
0.000781,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.020241,1,0,11.674875,-1.674875,-2.107147,-2.107147,0.000000,0.000000
0.040492,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.060389,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.080277,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.100250,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.120199,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.140493,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.160573,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.180465,1,0,11.673765,-1.673765,-2.107178,-2.107178,0.000000,0.000000
0.200424,1,0,11.677114,-1.677114,-2.107094,-2.107094,0.000000,0.000000
0.220293,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.240309,1,0,11.674875,-1.674875,-2.107147,-2.107147,0.000000,0.000000
0.260412,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.280397,1,0,11.677114,-1.677114,-2.107094,-2.107094,0.000000,0.000000
0.300443,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.320235,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.340476,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.360374,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.380324,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.400288,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.420425,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.440352,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.460303,1,0,11.674875,-1.674875,-2.107147,-2.107147,0.000000,0.000000
0.480354,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.500305,1,0,11.650334,-1.650334,-2.107819,-2.107819,0.000000,0.000000
0.520682,1,0,11.673765,-1.673765,-2.107178,-2.107178,0.000000,0.000000
