Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,AngleError_DB,Speed,Omega
0.000769,1,0,5.123802,4.876198,2.215324,2.215324,0.000000,0.000000
0.020362,1,0,5.142587,4.857413,2.262856,2.262856,0.000000,0.000000
0.040358,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.060354,1,0,5.097540,4.902460,2.112457,2.112457,0.000000,0.000000
0.080452,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.100372,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.253142,1,0,5.085204,4.914796,2.291893,2.291893,0.000000,0.000000
0.255786,1,0,5.085204,4.914796,2.291893,2.291893,0.000000,0.000000
0.257523,1,0,5.085204,4.914796,2.291893,2.291893,0.000000,0.000000
0.259179,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
0.260983,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
0.262495,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
0.263929,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
0.265506,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
0.280406,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.300401,1,0,5.029755,4.970245,2.252434,2.252434,0.000000,0.000000
0.320509,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.340254,1,0,5.029755,4.970245,2.252434,2.252434,0.000000,0.000000
0.360258,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.380350,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.400344,1,0,5.030444,4.969556,2.257263,2.257263,0.000000,0.000000
0.420334,1,0,5.057217,4.942783,2.391922,2.391922,0.000000,0.000000
0.440304,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.461330,1,0,5.057217,4.942783,2.391922,2.391922,0.000000,0.000000
0.480478,1,0,5.030444,4.969556,2.257263,2.257263,0.000000,0.000000
0.500374,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.520281,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.540576,1,0,5.029755,4.970245,2.252434,2.252434,0.000000,0.000000
0.560413,1,0,5.030444,4.969556,2.257263,2.257263,0.000000,0.000000
0.580366,1,0,5.097540,4.902460,2.112457,2.112457,0.000000,0.000000
0.600360,1,0,5.030444,4.969556,2.257263,2.257263,0.000000,0.000000
0.620330,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.640393,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.660310,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.680616,1,0,5.029755,4.970245,2.252434,2.252434,0.000000,0.000000
0.700332,1,0,5.057217,4.942783,2.391922,2.391922,0.000000,0.000000
0.720372,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
0.740392,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.760530,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.780366,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
0.800394,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
0.820374,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.840690,1,0,5.029755,4.970245,2.252434,2.252434,0.000000,0.000000
0.860359,1,0,5.030444,4.969556,2.257263,2.257263,0.000000,0.000000
0.880560,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
0.900432,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
0.921155,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
0.940314,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
0.960387,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
0.980336,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
1.000369,1,0,5.057217,4.942783,2.391922,2.391922,0.000000,0.000000
1.020487,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
1.040608,1,0,5.029755,4.970245,2.252434,2.252434,0.000000,0.000000
1.060337,1,0,5.024380,4.975620,2.215652,2.215652,0.000000,0.000000
1.080566,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
1.100362,1,0,5.057217,4.942783,2.391922,2.391922,0.000000,0.000000
1.153749,1,0,5.047723,4.952277,2.310471,2.310471,0.000000,0.000000
1.155513,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
1.160242,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
1.180352,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
1.200262,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
1.220598,1,0,5.055543,4.944457,2.254776,2.254776,0.000000,0.000000
1.240473,1,0,5.055543,4.944457,2.254776,2.254776,0.000000,0.000000
1.260340,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
1.280449,1,0,5.047723,4.952277,2.223999,2.223999,0.000000,0.000000
1.300325,1,0,5.074729,4.925271,2.312790,2.312790,0.000000,0.000000
1.320713,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
1.340437,1,0,5.075892,4.924108,2.310471,2.310471,0.000000,0.000000
1.360332,1,0,5.057217,4.942783,2.391922,2.391922,0.000000,0.000000
1.380295,1,0,5.029755,4.970245,2.252434,2.252434,0.000000,0.000000
1.400357,1,0,5.030444,4.969556,2.257263,2.257263,0.000000,0.000000
1.420461,1,0,5.030444,4.969556,2.257263,2.257263,0.000000,0.000000
1.440339,1,0,5.030444,4.969556,2.257263,2.257263,0.000000,0.000000
1.462190,1,0,5.029755,4.970245,2.252434,2.252434,0.000000,0.000000
1.480419,1,0,5.080821,4.919179,2.354843,2.354843,0.000000,0.000000
1.500349,1,0,5.080821,4.919179,2.354843,2.354843,0.000000,0.000000
1.520529,1,0,5.079657,4.920343,2.152382,2.152382,0.000000,0.000000
1.540663,1,0,5.071516,4.928484,2.373398,2.373398,0.000000,0.000000
1.560314,1,0,5.031542,4.968458,2.254776,2.254776,0.000000,0.000000
1.580356,1,0,5.012103,4.987897,2.297607,2.297607,0.000000,0.000000
1.600338,1,0,5.030267,4.969733,2.260330,2.260330,0.000000,0.000000
1.620784,1,0,5.032318,4.967682,2.262032,2.262032,0.000000,0.000000
1.641034,1,0,5.030267,4.969733,2.260330,2.260330,0.000000,0.000000
1.660384,1,0,5.042289,4.957711,2.229675,2.229675,0.000000,0.000000
1.680448,1,0,5.030267,4.969733,2.260330,2.260330,0.000000,0.000000
1.700427,1,0,5.030267,4.969733,2.260330,2.260330,0.000000,0.000000
1.721097,1,0,5.030267,4.969733,2.260330,2.260330,0.000000,0.000000
1.741311,1,0,5.065176,4.934824,2.234299,2.234299,0.000000,0.000000
1.760433,1,0,5.012103,4.987897,2.297607,2.297607,0.000000,0.000000
1.780287,1,0,5.005093,4.994907,2.266266,2.266266,0.000000,0.000000
1.800300,1,0,5.002798,4.997202,2.312973,2.312973,0.000000,0.000000
1.820287,1,0,5.021973,4.978027,2.275253,2.275253,0.000000,0.000000
1.840478,1,0,4.993371,5.006629,2.336685,2.336685,0.000000,0.000000
1.860343,1,0,4.993371,5.006629,2.336685,2.336685,0.000000,0.000000
1.880304,1,0,5.031542,4.968458,2.459511,2.459511,0.000000,0.000000
1.900280,1,0,5.007652,4.992348,2.459511,2.459511,0.000000,0.000000
1.920349,1,0,4.984441,5.015559,2.355881,2.355881,0.000000,0.000000
1.940858,1,0,4.974792,5.025208,2.377357,2.377357,0.000000,0.000000
1.960350,1,0,4.978764,5.021236,2.326126,2.326126,0.000000,0.000000
1.980545,1,0,4.978764,5.021236,2.326126,2.326126,0.000000,0.000000
2.000306,1,0,4.965421,5.034579,2.401100,2.401100,0.000000,0.000000
2.020642,1,0,4.983526,5.016474,2.405090,2.405090,0.000000,0.000000
2.040359,1,0,4.926501,5.073499,2.344887,2.344887,0.000000,0.000000
2.060317,1,0,4.880995,5.119005,2.331169,2.331169,0.000000,0.000000
2.080303,1,0,4.856507,5.143493,2.485039,2.485039,0.000000,0.000000
2.100275,1,0,4.848302,5.151698,2.403938,2.403938,0.000000,0.000000
2.120492,1,0,4.858450,5.141550,2.374718,2.374718,0.000000,0.000000
2.274239,1,0,4.752004,5.247996,2.459511,2.459511,0.000000,0.000000
2.275849,1,0,4.752004,5.247996,2.459511,2.459511,0.000000,0.000000
2.277588,1,0,4.752004,5.247996,2.459511,2.459511,0.000000,0.000000
2.278955,1,0,4.752004,5.247996,2.459511,2.459511,0.000000,0.000000
2.280347,1,0,4.752004,5.247996,2.459511,2.459511,0.000000,0.000000
2.281885,1,0,4.752004,5.247996,2.459511,2.459511,0.000000,0.000000
2.283310,1,0,4.752004,5.247996,2.459511,2.459511,0.000000,0.000000
2.284726,1,0,4.752004,5.247996,2.459511,2.459511,0.000000,0.000000
2.300342,1,0,4.774718,5.225282,2.357155,2.357155,0.000000,0.000000
